annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,False,0881,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0881,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,True,0884,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0884,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0897,Direzione aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0897,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,False,0900,Economia e professione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0900,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,0901,"Finanza, intermediari e mercati",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0901,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,0902,Innovation and Organization of Culture and the Arts,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0902,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,0905,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0905,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,it,libero
2023/2024,True,0924,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0924,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0925,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0925,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0927,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0927,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
