corso_codice,corso_descrizione,campus,ambiti,tipologia,lingue
881,Architettura,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,it
884,Chimica industriale,Bologna,Scienze,Laurea Magistrale,it
897,Direzione aziendale,Bologna,Economia e management,Laurea Magistrale,it
900,Economia e professione,Bologna,Economia e management,Laurea Magistrale,it
901,"Finanza, intermediari e mercati",Bologna,Economia e management,Laurea Magistrale,it
902,Innovation and Organization of Culture and the Arts,Bologna,Economia e management,Laurea Magistrale,en
905,Economia e commercio,Forlì,Economia e management,Laurea Magistrale,it
924,Ingegneria energetica,Bologna,Ingegneria e architettura,Laurea,it
925,Ingegneria gestionale,Bologna,Ingegneria e architettura,Laurea,it
927,Ingegneria meccanica,Bologna,Ingegneria e architettura,Laurea,it
930,Ingegneria civile,Bologna,Ingegneria e architettura,Laurea Magistrale,it
934,Ingegneria elettronica,Bologna,Ingegneria e architettura,Laurea Magistrale,it en
935,Ingegneria energetica,Bologna,Ingegneria e architettura,Laurea Magistrale,it
936,Ingegneria gestionale,Bologna,Ingegneria e architettura,Laurea Magistrale,it
940,Ingegneria edile - architettura,Bologna,Ingegneria e architettura,Laurea Magistrale a ciclo unico,it
949,Ingegneria meccanica,Forlì,Ingegneria e architettura,Laurea,it
962,Storia,Bologna,Studi umanistici,Laurea,it
964,Antropologia culturale ed etnologia,Bologna,Studi umanistici,Laurea Magistrale,it
971,Geografia e processi territoriali,Bologna,Studi umanistici,Laurea Magistrale,it
979,Lingue e letterature straniere,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,it
981,"Letterature moderne, comparate e postcoloniali",Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,it
983,Lingua e cultura italiane per stranieri,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,it
989,Neuroscienze e riabilitazione neuropsicologica,Cesena,Psicologia,Laurea Magistrale,it
990,Psicologia clinica,Cesena,Psicologia,Laurea Magistrale,it
991,Psicologia cognitiva applicata,Bologna,Psicologia,Laurea Magistrale,it
993,Psicologia scolastica e di comunità,Cesena,Psicologia,Laurea Magistrale,it
5695,Architettura-ingegneria,Bologna,Ingegneria e architettura,Laurea,it
5696,"Società e culture del Mediterraneo: istituzioni, sicurezza, ambiente",Ravenna,Studi umanistici,Laurea,it
5697,Ingegneria edile-architettura,Bologna,Ingegneria e architettura,Laurea Magistrale,it en
5698,"Informazione, culture e organizzazione dei media",Bologna,Studi umanistici,Laurea Magistrale,it
5699,Electric Vehicle Engineering,Bologna,Ingegneria e architettura,Laurea Magistrale,en
5700,Psychology of Wellbeing and Social Inclusivity,Bologna,Psicologia,Laurea Magistrale,en
5701,Chemical Innovation and Regulation,Bologna,Scienze,Laurea Magistrale,en
5702,International Politics and Economics,Forlì,"Scienze politiche, Economia e management",Laurea Magistrale,en
5703,"Comunicazione giornalistica, pubblica e d'impresa",Bologna,Scienze politiche,Laurea Magistrale,it
5704,Didattica e comunicazione delle scienze naturali,Bologna,Scienze,Laurea Magistrale,it
5705,Precise and Sustainable Agriculture,Bologna,Scienze agro-alimentari,Laurea Magistrale,en
5706,Advanced Spectroscopy in Chemistry,Bologna,Scienze,Laurea Magistrale,en
5708,Medicina e chirurgia,Ravenna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
5709,Medicina e chirurgia,Forlì,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
5710,Scienze dello spettacolo e della produzione audiovisiva,,Studi umanistici,Laurea Magistrale,it
5711,Scienze della formazione primaria,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale a ciclo unico,it
5723,Aerospace Engineering,Forlì,Ingegneria e architettura,Laurea Magistrale,en
5724,Ingegneria meccanica,Bologna,Ingegneria e architettura,Laurea Magistrale,it
5726,Educatore sociale e culturale,Bologna,Scienze dell’educazione e della formazione,Laurea,it
5727,Educatore sociale e culturale,Rimini,Scienze dell’educazione e della formazione,Laurea,it
5728,Sicurezza e qualità delle produzioni animali,Bologna,Medicina veterinaria,Laurea Magistrale,it
5729,Biologia della salute,Bologna,Farmacia e biotecnologie,Laurea Magistrale,it
5808,Scienze e cultura della gastronomia,Cesena,Scienze agro-alimentari,Laurea,it
5809,Architecture and Creative Practices for the City and Landscape,Bologna,Ingegneria e architettura,Laurea Magistrale,en
5810,Advanced Methods in Particle Physics,Bologna,Scienze,Laurea Magistrale,en
5811,"Law, Economics and Governance",Bologna,Economia e management,Laurea Magistrale,en
5812,"Nutrizione umana, benessere e salute",Rimini,Scienze motorie,Laurea Magistrale,it
5813,"Wellness, Sport and Health",Rimini,Scienze motorie,Laurea Magistrale,en
5814,Food Animal Metabolism and Management in the Circular Economy,Bologna,Medicina veterinaria,Laurea Magistrale,en
5815,Digital Transformation Management,Cesena,"Ingegneria e architettura, Scienze, Economia e management",Laurea Magistrale,en
5816,Tecnologie dei sistemi informatici,Cesena,Ingegneria e architettura,Laurea,it
5817,Tecniche per l'edilizia e il territorio,Bologna,Ingegneria e architettura,Laurea,it
5818,Meccatronica,Bologna,Ingegneria e architettura,Laurea,it
5819,"Economics, Politics and Social Sciences",Bologna,"Economia e management, Scienze politiche",Laurea,en
5821,"Dams - discipline delle arti, della musica e dello spettacolo",Bologna,Studi umanistici,Laurea,it
5822,Ingegneria dell'energia elettrica,Bologna,Ingegneria e architettura,Laurea,it
5823,Scienze naturali,Bologna,Scienze,Laurea,it
5824,Biodiversità ed evoluzione,Bologna,Scienze,Laurea Magistrale,it
5825,Molecular and Cell  Biology,Bologna,Farmacia e biotecnologie,Laurea Magistrale,en
5826,Ingegneria informatica,Bologna,Ingegneria e architettura,Laurea Magistrale,it
5827,Matematica,Bologna,Scienze,Laurea Magistrale,it en
5828,Astrophysics and Cosmology,Bologna,Scienze,Laurea Magistrale,en
5829,"Work, Organizational and Personnel Psychology",Cesena,Psicologia,Laurea Magistrale,en
5830,Scienze e tecnologie per il verde e il paesaggio,Bologna,Scienze agro-alimentari,Laurea,it
5831,Tecnologie per il territorio e l'ambiente agro-forestale,Bologna,Scienze agro-alimentari,Laurea,it
5832,Tecnologie agrarie,Bologna,Scienze agro-alimentari,Laurea,it
5833,Economia e marketing nel sistema agro-industriale,Bologna,Scienze agro-alimentari,Laurea,it
5834,Ingegneria elettronica,Cesena,Ingegneria e architettura,Laurea,it
5881,Metodologie chimiche per prodotti e processi,Bologna,Scienze,Laurea,it
5885,Greening Energy Market and Finance,Bologna,Scienze Statistiche,Laurea Magistrale,en
5889,Governance e politiche dell'innovazione digitale,Bologna,"Scienze politiche, Ingegneria e architettura, Scienze",Laurea Magistrale,it
5890,Religioni Storie Culture,Bologna,Studi umanistici,Laurea Magistrale,it
5891,International Management,Bologna,Economia e management,Laurea Magistrale,en
5892,Management and Economics,Forlì,Economia e management,Laurea,en
5895,Science of Climate,Bologna,Scienze,Laurea Magistrale,en
5897,Building Construction Engineering,Ravenna,Ingegneria e architettura,Laurea,en
5898,Informatica,Bologna,Scienze,Laurea Magistrale,it
5899,"Cinema, televisione e produzione multimediale",Bologna,Studi umanistici,Laurea Magistrale,it
5900,Analisi e gestione dell'ambiente,Ravenna,Scienze,Laurea Magistrale,it en
5901,"Statistica, finanza e assicurazioni",Rimini,Scienze Statistiche,Laurea,it
5902,Health Economics and Management,Bologna,Economia e management,Laurea Magistrale,en
5903,Giurisprudenza,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,it
5904,Medicina e chirurgia,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
5905,Medicina e chirurgia,Forlì,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
5906,Medicina e chirurgia,Ravenna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,it
5907,Infermieristica (abilitante alla professione sanitaria di infermiere),Bologna,Medicina e Chirurgia,Laurea,it
5908,Infermieristica (abilitante alla professione sanitaria di infermiere),Ravenna,Medicina e Chirurgia,Laurea,it
5909,Biology of Human and Environmental Health,,Scienze,Laurea,en
5910,Tourism Economics and Management,Rimini,Economia e management,Laurea Magistrale,en
5911,East European and Eurasian Studies,Forlì,Scienze politiche,Laurea Magistrale,en
5912,Sviluppo locale e globale,Bologna,Scienze politiche,Laurea Magistrale,it
5913,Economia e diritto,Bologna,Economia e management,Laurea Magistrale,it en
5915,Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico),Bologna,Medicina e Chirurgia,Laurea,it
5917,Electronic Engineering for Intelligent Vehicles,,Ingegneria e architettura,Laurea Magistrale,en
5940,Scienza dei materiali,Bologna,Scienze,Laurea,it
5941,Compositi polimerici,Bologna,Ingegneria e architettura,Laurea,it
5943,Service Management,Rimini,Economia e management,Laurea Magistrale,en
5944,Business Administration and Sustainability,Forlì,"Economia e management, Scienze agro-alimentari",Laurea Magistrale,en
5945,Economics and Public Policy,Bologna,Economia e management,Laurea Magistrale,en
5946,"Dati, metodi e modelli per le scienze linguistiche",Bologna,Studi umanistici,Laurea Magistrale,it
5948,Biotecnologie agrarie vegetali,Bologna,Scienze agro-alimentari,Laurea Magistrale,it
5949,International Studies,Forlì,Scienze politiche,Laurea,en
5961,Psicologia scolastica e di comunità,Cesena,Psicologia,Laurea Magistrale,it
5962,Psicologia clinica,Cesena,Psicologia,Laurea Magistrale,it
5963,Scienze e tecniche psicologiche,Cesena,Psicologia,Laurea,it
5964,Neuroscienze e riabilitazione neuropsicologica,Cesena,Psicologia,Laurea Magistrale,it
5965,Psicologia cognitiva applicata,Bologna,Psicologia,Laurea Magistrale,it
5966,Psychology of Wellbeing and Social Inclusivity,Bologna,Psicologia,Laurea Magistrale,en
5967,"Work, Organizational and Personnel Psychology",Cesena,Psicologia,Laurea Magistrale,en
5969,Applied Economics and Markets,Bologna,Economia e management,Laurea Magistrale,en
5974,"Storia, società e culture del Mediterraneo",Ravenna,Studi umanistici,Laurea,it
