materia_codice,docente_codice
85303,
85304,44978.0
85304,31027.0
85304,44978.0
85304,44978.0
85305,42977.0
84019,
84466,
84467,43302.0
84469,32533.0
84469,32533.0
84469,601235.0
69883,31794.0
69883,31794.0
69883,600409.0
65629,41637.0
84470,56298.0
84471,600366.0
58157,33240.0
58157,33240.0
30330,36732.0
30330,36732.0
84639,46840.0
84639,46840.0
84639,46840.0
79448,43053.0
87978,30090.0
87978,30090.0
87978,76307.0
47736,41286.0
84552,121694.0
84552,121694.0
84552,132713.0
84552,48280.0
B0743,
95551,34368.0
90556,24356.0
79158,
79065,148323.0
70135,35629.0
70135,35629.0
70135,35629.0
B0008,
32512,48280.0
B0005,40120.0
82173,
70111,34326.0
82174,34341.0
99571,42936.0
09725,49283.0
66267,
66271,35626.0
66272,41259.0
66272,41259.0
66272,150515.0
65838,30924.0
65838,30924.0
65838,31522.0
90928,73998.0
90928,73998.0
90928,73998.0
18034,48405.0
18034,48405.0
84888,39478.0
84888,39478.0
84888,24257.0
B2950,50942.0
36420,39271.0
36420,39271.0
97311,50942.0
96382,38506.0
75317,
75318,31091.0
75319,40000.0
73727,16858.0
93825,42381.0
13769,32324.0
99795,16832.0
99795,16832.0
B3240,38112.0
37645,41642.0
90833,30589.0
91671,43789.0
91377,31977.0
91377,31977.0
91394,31977.0
96361,30823.0
93748,
93749,33936.0
93750,95914.0
93750,124540.0
93750,95914.0
93748,
93749,33936.0
93750,95914.0
93750,124540.0
93750,95914.0
97476,
96756,31531.0
96757,39474.0
79296,75440.0
79296,75440.0
79296,75440.0
B3254,
B3254,23965.0
B3254,23965.0
B3254,47297.0
B3254,23965.0
B3254,23965.0
B3254,23965.0
B3254,47297.0
B3254,23965.0
95844,23965.0
95844,23965.0
95844,47297.0
93979,46372.0
85738,111190.0
95589,40774.0
91145,
90920,38651.0
90921,31153.0
90923,38112.0
99045,32126.0
96641,112187.0
96641,112187.0
85781,33046.0
85781,33046.0
91962,
86499,33046.0
86460,34685.0
96388,45711.0
72756,33790.0
72756,33790.0
72756,39225.0
87979,38738.0
87979,38738.0
87979,113596.0
B2970,116691.0
B2970,116691.0
B2970,56813.0
93729,
91340,123789.0
93730,123792.0
93730,123792.0
93730,31795.0
30799,156763.0
30799,156763.0
30799,156763.0
88243,118172.0
88243,33319.0
88243,118172.0
88243,118172.0
B2051,39591.0
93853,30930.0
93853,30930.0
90927,
81594,39514.0
81594,39514.0
81594,41097.0
90929,31571.0
90929,31571.0
90929,31571.0
72757,42903.0
72757,42903.0
72757,47628.0
72757,30245.0
93272,35387.0
94424,55645.0
95590,42518.0
95661,147602.0
90298,39291.0
B0201,37158.0
B0201,37158.0
B0201,87474.0
B0201,
B0201,37158.0
B0201,87474.0
87588,41586.0
87588,41586.0
87588,46379.0
98751,31091.0
87970,38713.0
97264,
99732,40083.0
99732,40083.0
98773,31851.0
75447,31851.0
90351,34010.0
99265,32684.0
97475,33306.0
90388,41660.0
94191,36867.0
94191,36867.0
79430,15596.0
79430,15596.0
79430,30047.0
93762,58955.0
99797,
99797,106204.0
99797,34091.0
99797,129971.0
99797,
99797,106204.0
99797,34091.0
99797,129971.0
65094,53384.0
93363,48389.0
87971,15882.0
87971,31796.0
87971,15882.0
99813,
99813,106204.0
98717,31091.0
96660,147552.0
96660,147552.0
B0009,35642.0
96081,108146.0
96081,135258.0
96081,108146.0
96081,126833.0
96389,128710.0
B2433,155140.0
B2433,155140.0
B2433,42659.0
B2433,155140.0
72758,34566.0
72758,34566.0
72758,48373.0
72758,69440.0
66787,34566.0
66787,34566.0
66787,48373.0
75454,34566.0
75454,34566.0
75454,48373.0
87484,30760.0
93948,35817.0
90921,31153.0
88242,33319.0
90481,34008.0
90302,31616.0
B2124,31851.0
81626,15701.0
84199,16714.0
81633,34143.0
31203,33936.0
31203,33936.0
31203,45582.0
33930,16716.0
73184,
93846,34015.0
93847,50719.0
93847,50719.0
93847,85251.0
73184,
93846,34015.0
93847,50719.0
93847,50719.0
93847,85251.0
73205,42656.0
73205,42656.0
90988,43075.0
96095,
75475,32518.0
75475,32518.0
75475,32518.0
96094,148396.0
B0507,32518.0
B0507,32518.0
B0507,32518.0
50008,37143.0
73499,31501.0
38378,34949.0
73197,31501.0
B1421,
B1421,38831.0
B1421,38831.0
B1421,127724.0
B1421,49153.0
B1421,47530.0
B1421,38831.0
B1421,38831.0
B1421,38825.0
B1421,39989.0
B1421,34759.0
B1421,38831.0
B1421,38831.0
B1421,50837.0
B1421,56806.0
B1421,34366.0
72637,
72637,38831.0
72637,38831.0
72637,50047.0
72637,51050.0
72637,82921.0
72637,127724.0
72637,49153.0
72637,47530.0
72637,38831.0
72637,38831.0
72637,50047.0
72637,40048.0
72637,47530.0
72637,38825.0
72637,39989.0
72637,34759.0
72637,38831.0
72637,38831.0
72637,50047.0
72637,41377.0
72637,50837.0
72637,56806.0
72637,38825.0
72637,34366.0
40136,15251.0
40137,15251.0
26365,42726.0
94160,55289.0
40133,101725.0
73763,34818.0
40130,37559.0
73764,916459.0
56499,37294.0
93932,33166.0
B0789,
B0790,30790.0
B0791,37624.0
65814,45070.0
65814,38790.0
B6965,45070.0
85363,
85366,40588.0
85368,15880.0
92979,132135.0
78615,
78616,118579.0
78617,118579.0
78618,15834.0
88648,40585.0
88648,40585.0
88648,97347.0
75192,40585.0
75192,40585.0
75192,97347.0
82247,
82248,40585.0
82248,40585.0
82248,97347.0
82275,40585.0
82275,40585.0
82275,40585.0
99188,137129.0
99188,137129.0
99188,162725.0
99871,31894.0
79249,113578.0
17955,35602.0
17955,35602.0
17955,45796.0
29716,
29718,44567.0
27304,31894.0
27372,113578.0
95885,32099.0
69859,16684.0
96976,
96977,16815.0
96978,35566.0
99926,32532.0
28357,
28357,82364.0
28357,82364.0
28357,119334.0
28357,114970.0
28357,119334.0
28357,114970.0
28368,39857.0
06689,114970.0
06689,114970.0
06689,114815.0
58414,82364.0
58414,
58414,33180.0
58414,35968.0
58414,39474.0
58414,35968.0
58414,33326.0
73147,33326.0
30076,
00005,40000.0
42062,16733.0
58416,137131.0
58416,137131.0
58416,93286.0
69443,40940.0
85301,127088.0
85301,127088.0
85301,127088.0
91717,38668.0
91717,38668.0
91717,34569.0
73414,38593.0
46686,
10381,30751.0
10381,30751.0
75407,30656.0
11929,30927.0
11929,30927.0
11929,61169.0
11929,61169.0
11929,30927.0
11929,61169.0
11929,
11929,30957.0
11929,30957.0
11929,42372.0
11929,108414.0
11929,30927.0
11929,30927.0
11929,42372.0
11929,108414.0
11929,35634.0
11929,16885.0
11929,35634.0
11929,118578.0
11929,33342.0
11929,33342.0
11929,40940.0
37635,33342.0
37635,33342.0
37635,40940.0
58207,37246.0
99710,34490.0
94215,
02715,39918.0
13952,55832.0
45545,64960.0
45545,64960.0
45545,139889.0
94161,
37692,92758.0
37682,33508.0
91184,40004.0
85546,
85547,41653.0
85548,31630.0
85549,44568.0
04762,35786.0
18251,50158.0
13140,16932.0
94259,46412.0
94259,146198.0
94259,56898.0
94259,46412.0
94234,16723.0
66185,34993.0
37171,32105.0
37171,41640.0
94109,38606.0
94109,38606.0
94109,81016.0
94109,81016.0
86754,
B1944,
B7292,
88326,
88324,33518.0
88325,33518.0
B0832,33518.0
75698,38723.0
75698,38723.0
75698,33108.0
93464,
93464,
93464,
93464,
93464,
93744,30508.0
66670,39578.0
37358,30384.0
